state,year,type,value
Minnesota,2021,Mobile banking,45.8
Mississippi,2021,Mobile banking,34.4
Missouri,2021,Mobile banking,43.9
Montana,2021,Mobile banking,41.1
Nebraska,2021,Mobile banking,47.8
Nevada,2021,Mobile banking,38.9
New Hampshire,2021,Mobile banking,41.2
New Jersey,2021,Mobile banking,32.8
New Mexico,2021,Mobile banking,42.2
New York,2021,Mobile banking,34.8
North Carolina,2021,Mobile banking,43
North Dakota,2021,Mobile banking,42.9
Ohio,2021,Mobile banking,43.3
Oklahoma,2021,Mobile banking,45.2
Oregon,2021,Mobile banking,48.3
Pennsylvania,2021,Mobile banking,38.2
Rhode Island,2021,Mobile banking,41
South Carolina,2021,Mobile banking,38.2
South Dakota,2021,Mobile banking,45.3
Tennessee,2021,Mobile banking,40.6
Texas,2021,Mobile banking,49.9
Utah,2021,Mobile banking,59.2
Vermont,2021,Mobile banking,35.8
Virginia,2021,Mobile banking,45.2
Washington,2021,Mobile banking,49.6
West Virginia,2021,Mobile banking,36.4
Wisconsin,2021,Mobile banking,39.5
Wyoming,2021,Mobile banking,39.8
Alabama,2021,Other,0.8
Alaska,2021,Other,0.5
Arizona,2021,Other,0.5
Arkansas,2021,Other,0.8
California,2021,Other,0.6
Colorado,2021,Other,0.3
Connecticut,2021,Other,0.9
Delaware,2021,Other,0.5
District of Columbia,2021,Other,0.6
Florida,2021,Other,0.7
Georgia,2021,Other,0.6
Hawaii,2021,Other,1.2
Idaho,2021,Other,1.3
Illinois,2021,Other,1
Indiana,2021,Other,0.7
Iowa,2021,Other,1.2
Kansas,2021,Other,3.4
Kentucky,2021,Other,0
Louisiana,2021,Other,0.1
Maine,2021,Other,0.7
Maryland,2021,Other,1.4
Massachusetts,2021,Other,0.9
Michigan,2021,Other,0.4
Minnesota,2021,Other,0.5
Mississippi,2021,Other,0.4
Missouri,2021,Other,0.3
Montana,2021,Other,1
Nebraska,2021,Other,0.7
Nevada,2021,Other,0.3
New Hampshire,2021,Other,0.8
New Jersey,2021,Other,0.6
New Mexico,2021,Other,0.3
New York,2021,Other,0.1
North Carolina,2021,Other,0.8
North Dakota,2021,Other,0.4
Ohio,2021,Other,0.5
Oklahoma,2021,Other,0.6
Oregon,2021,Other,0.6
Pennsylvania,2021,Other,0.4
Rhode Island,2021,Other,0.8
South Carolina,2021,Other,0.4
South Dakota,2021,Other,1
Tennessee,2021,Other,0.2
Texas,2021,Other,1.1
Utah,2021,Other,0.3
Vermont,2021,Other,1.1
Virginia,2021,Other,0.6
Washington,2021,Other,0.1
West Virginia,2021,Other,1.1
Wisconsin,2021,Other,2
Wyoming,2021,Other,0.4
